Family,Species,Body mass (g),Flapper,Migrant,Incubation duration (days),Fledging duration (days),Developmental duration (days)
Acanthisittidae,Acanthisitta_chloris,6.7,1,0,19.8,24.2,44
Acanthisittidae,Xenicus_gilviventris,17.6,1,0,19.8,23.8,43.5
Acanthizidae,Acanthiza_apicalis,7.6,1,0,19.8,17,36.7
Acanthizidae,Acanthiza_chrysorrhoa,9.3,1,0,16.9,19.1,35.9
Acanthizidae,Acanthiza_inornata,7,1,0,19.5,18,37.5
Acanthizidae,Acanthiza_lineata,7,1,0,15,19,34
Acanthizidae,Acanthiza_pusilla,7.6,1,0,18.2,15.5,33.7
Acanthizidae,Acanthiza_reguloides,7.7,1,0,16.5,17.4,33.9
Acanthizidae,Acanthiza_uropygialis,6.4,1,0,19,19,38
Acanthizidae,Aphelocephala_leucopsis,12.3,1,0,22,19,41
Acanthizidae,Chthonicola_sagittatus,13.3,1,0,17.9,17,34.9
Acanthizidae,Gerygone_albofrontata,10.3,1,0,19.5,20,39.5
Acanthizidae,Gerygone_fusca,5.4,1,1,11,10.7,21.8
Acanthizidae,Gerygone_igata,6.4,1,0,19.5,17.6,37.1
Acanthizidae,Gerygone_levigaster,6.2,1,0,15,15.5,30.5
Acanthizidae,Gerygone_magnirostris,6.8,1,0,18,13,31
Acanthizidae,Gerygone_mouki,5.2,1,0,18.2,14.7,33
Acanthizidae,Gerygone_olivacea,6.6,1,0,17.2,16.5,33.7
Acanthizidae,Hylacola_pyrrhopygia,16.7,1,0,15,15.2,30.3
Acanthizidae,Mohoua_albicilla,19.9,1,0,18,17.5,35.5
Acanthizidae,Mohoua_novaeseelandiae,12.2,1,0,19.1,20,39.1
Acanthizidae,Mohoua_ochrocephala,27.7,1,0,20.7,22.3,43
Acanthizidae,Oreoscopus_gutturalis,20,1,0,29,22,51
Acanthizidae,Origma_solitaria,14.3,1,0,23.8,19.5,43.2
Acanthizidae,Pycnoptilus_floccosus,30.2,1,0,21,15.5,36.5
Acanthizidae,Sericornis_citreogularis,17.5,1,0,20,19,39
Acanthizidae,Sericornis_frontalis,13.2,1,0,20.5,15,35.5
Acanthizidae,Sericornis_magnirostra,9.8,1,0,13,13,26
Acanthizidae,Smicrornis_brevirostris,5.3,1,0,19.5,18.5,38
Accipitridae,Accipiter_badius,135.6,0,1,31.2,32,63.3
Accipitridae,Accipiter_bicolor,316.3,0,0,35,33,68
Accipitridae,Accipiter_brevipes,195,0,1,32.5,43.7,76.2
Accipitridae,Accipiter_cirrocephalus,172.9,0,0,36,30.5,66.5
Accipitridae,Accipiter_cooperii,440.8,0,1,31.9,31.7,63.6
Accipitridae,Accipiter_fasciatus,406.1,0,0,30.6,30.8,61.4
Accipitridae,Accipiter_francesiae,136,0,0,31,27,58
Accipitridae,Accipiter_gentilis,927.4,0,1,35.6,40.1,75.7
Accipitridae,Accipiter_gularis,119.7,0,1,26.5,30,56.5
Accipitridae,Accipiter_henstii,1050,0,0,39.5,45,84.5
Accipitridae,Accipiter_madagascariensis,181.2,0,0,35,37.5,72.5
Accipitridae,Accipiter_melanoleucus,700.4,0,0,37.2,40.5,77.8
Accipitridae,Accipiter_minullus,85.7,0,0,31.5,25.8,57.3
Accipitridae,Accipiter_nisus,216.4,0,1,37.2,26.8,64
Accipitridae,Accipiter_novaehollandiae,382.8,0,0,33.7,36.7,70.5
Accipitridae,Accipiter_ovampensis,197.1,0,0,33.7,33,66.7
Accipitridae,Accipiter_rufiventris,198,0,0,34.5,31.2,65.8
Accipitridae,Accipiter_striatus,134.5,0,1,32,24.1,56.1
Accipitridae,Accipiter_tachiro,339.7,0,0,32.5,32.3,64.8
Accipitridae,Accipiter_toussenelii,273.9,0,0,29,32,61
Accipitridae,Accipiter_virgatus,115.2,0,1,28,22.5,50.5
Accipitridae,Aegypius_monachus,9472.8,0,1,53,111.3,164.3
Accipitridae,Aquila_adalberti,3110,0,0,43,69,112
Accipitridae,Aquila_audax,3457.9,0,0,44,80.8,124.8
Accipitridae,Aquila_chrysaetos,4315.5,0,1,43.6,70.3,113.9
Accipitridae,Aquila_clanga,2044.5,0,1,42.5,63,105.5
Accipitridae,Aquila_fasciatus,1968.2,0,1,39.1,63.1,102.3
Accipitridae,Aquila_hastata,1395.5,0,0,40.7,67.5,108.2
Accipitridae,Aquila_heliaca,3193.6,0,1,43,68.8,111.7
Accipitridae,Aquila_nipalensis,2624.4,0,1,44.7,72,116.8
Accipitridae,Aquila_pomarina,1395.5,0,1,41.7,57,98.7
Accipitridae,Aquila_rapax,2291.5,0,0,38.5,82.2,120.8
Accipitridae,Aquila_verreauxii,4195,0,0,45.2,92,137.3
Accipitridae,Aquila_wahlbergi,713.5,0,1,45.2,72.5,117.7
Accipitridae,Aviceda_cuculoides,276.4,0,0,32,32.5,64.5
Accipitridae,Aviceda_jerdoni,363,0,0,33.5,42,75.5
Accipitridae,Aviceda_leuphotes,195,0,1,26.5,29,55.5
Accipitridae,Aviceda_madagascariensis,292,0,0,31,43,74
Accipitridae,Aviceda_subcristata,325.3,0,0,31,33.5,64.5
Accipitridae,Butastur_indicus,408.3,0,1,30.5,36,66.5
Accipitridae,Butastur_rufipennis,334.9,0,1,30,36,66
Accipitridae,Buteo_albicaudatus,887,0,0,31.2,50.5,81.7
Accipitridae,Buteo_albigula,510,0,0,28,40,68
Accipitridae,Buteo_albonotatus,751.5,0,1,33,42,75
Accipitridae,Buteo_augur,1079.9,0,0,39.5,51,90.5
Accipitridae,Buteo_auguralis,667,0,1,30,55,85
Accipitridae,Buteo_brachypterus,511,0,0,31.5,45.5,77
Accipitridae,Buteo_buteo,926.5,0,1,34.7,45.8,80.4
Accipitridae,Buteo_galapagoensis,1150.4,0,0,37.5,55,92.5
Accipitridae,Buteo_hemilasius,1350.7,0,1,30,45,75
Accipitridae,Buteo_jamaicensis,1113.6,0,1,31.2,45.1,76.4
Accipitridae,Buteo_lagopus,947.6,0,1,29.4,40.3,69.6
Accipitridae,Buteo_lineatus,609.9,0,1,33,43.5,76.5
Accipitridae,Buteo_nitidus,513.4,0,0,32,42,74
Accipitridae,Buteo_platypterus,445.3,0,1,29.5,34.9,64.4
Accipitridae,Buteo_regalis,1453.3,0,1,32.9,42.5,75.4
Accipitridae,Buteo_ridgwayi,866.4,0,0,28.5,84,112.5
Accipitridae,Buteo_rufinus,1170.3,0,1,30.5,45.8,76.2
Accipitridae,Buteo_rufofuscus,1296.2,0,0,39.5,50,89.5
Accipitridae,Buteo_solitarius,502.9,0,0,38,61,99
Accipitridae,Buteo_swainsoni,958.1,0,1,33.6,43,76.6
Accipitridae,Buteogallus_anthracinus,985.5,0,1,38.6,46.5,85.1
Accipitridae,Buteogallus_gundlachii,960,0,0,38.6,46.5,85.1
Accipitridae,Buteogallus_meridionalis,808,0,0,39,47.5,86.5
Accipitridae,Chelictinia_riocourii,110,0,1,29,33.5,62.5
Accipitridae,Circaetus_beaudouini,1628.2,0,0,45.8,71.3,117
Accipitridae,Circaetus_cinerascens,1115,0,0,39,56,95
Accipitridae,Circaetus_cinereus,2048,0,0,51.5,103.8,155.3
Accipitridae,Circaetus_fasciolatus,1017.6,0,0,50,36,86
Accipitridae,Circaetus_gallicus,1708.2,0,1,46.5,71.9,118.4
Accipitridae,Circaetus_pectoralis,1608.6,0,0,49,81,130
Accipitridae,Circus_aeruginosus,655.5,0,1,32.7,35.3,68
Accipitridae,Circus_approximans,749.3,0,1,32.7,44.2,77
Accipitridae,Circus_assimilis,539.9,0,0,34.5,39.8,74.3
Accipitridae,Circus_cyaneus,422,0,1,30.7,36.6,67.3
Accipitridae,Circus_macrosceles,659.7,0,0,34,43.5,77.5
Accipitridae,Circus_macrourus,383.9,0,1,29.5,40,69.5
Accipitridae,Circus_maillardi,659.7,0,0,34,43.5,77.5
Accipitridae,Circus_maurus,520.5,0,1,34.5,38.5,73
Accipitridae,Circus_melanoleucos,355.7,0,1,31,40,71
Accipitridae,Circus_pygargus,313.1,0,1,31.4,35.1,66.5
Accipitridae,Circus_ranivorus,500.7,0,0,33.2,42.5,75.7
Accipitridae,Circus_spilonotus,561.1,0,1,40.5,37.5,78
Accipitridae,Elanoides_forficatus,429.4,0,1,28.9,43.4,72.2
Accipitridae,Elanus_axillaris,267.8,0,0,31,35.3,66.3
Accipitridae,Elanus_caeruleus,253.9,0,0,26,33.7,59.8
Accipitridae,Elanus_leucurus,328.8,0,0,30.5,37.4,67.9
Accipitridae,Elanus_scriptus,315.9,0,1,31,33.7,64.8
Accipitridae,Erythrotriorchis_radiatus,912.4,0,0,41,52.5,93.5
Accipitridae,Eutriorchis_astur,1790,0,0,40,62,102
Accipitridae,Gampsonyx_swainsonii,92.9,0,0,29.5,35,64.5
Accipitridae,Gypaetus_barbatus,5650.5,0,0,56.4,116.3,172.6
Accipitridae,Gypohierax_angolensis,1600,0,0,44.2,89,133.3
Accipitridae,Gyps_africanus,5437.7,0,0,57,125,182
Accipitridae,Gyps_bengalensis,4628,0,0,46.8,90.7,137.4
Accipitridae,Gyps_coprotheres,8019.5,0,1,55.1,128.8,183.9
Accipitridae,Gyps_fulvus,7436,0,1,53,113.1,166.1
Accipitridae,Gyps_himalayensis,9899,0,0,53.5,136.5,190
Accipitridae,Gyps_rueppellii,7400,0,0,55,120,175
Accipitridae,Haliaeetus_albicilla,4761.1,0,1,38.8,76.9,115.6
Accipitridae,Haliaeetus_leucocephalus,4720.3,0,1,35,77.1,112.1
Accipitridae,Haliaeetus_leucogaster,2789.3,0,0,38.5,67.5,106
Accipitridae,Haliaeetus_leucoryphus,2846.7,0,1,40,87.5,127.5
Accipitridae,Haliaeetus_pelagicus,7490.9,0,1,36.5,70,106.5
Accipitridae,Haliaeetus_vocifer,3103.2,0,0,43.9,71.3,115.1
Accipitridae,Haliaeetus_vociferoides,3000,0,0,39.7,82,121.7
Accipitridae,Haliastur_indus,529,0,0,27.9,47.5,75.4
Accipitridae,Haliastur_sphenurus,754,0,0,37.4,49,86.4
Accipitridae,Hamirostra_melanosternon,1196,0,0,38,60,98
Accipitridae,Harpagus_bidentatus,206.9,0,0,43.5,32,75.5
Accipitridae,Harpia_harpyja,4800,0,0,57.5,137.3,194.7
Accipitridae,Helicolestes_hamatus,425,0,0,30,35,65
Accipitridae,Hieraaetus_ayresii,842.5,0,1,44.5,74.5,119
Accipitridae,Hieraaetus_morphnoides,783,0,0,36.9,59.7,96.6
Accipitridae,Hieraaetus_pennatus,832.9,0,1,38.1,52,90.1
Accipitridae,Hieraaetus_spilogaster,1440,0,0,43,67.5,110.5
Accipitridae,Hieraaetus_weiskei,783,0,0,37.5,60.4,97.9
Accipitridae,Ichthyophaga_ichthyaetus,1813.7,0,0,29,70,99
Accipitridae,Ictinia_mississippiensis,278.5,0,1,30.5,34,64.5
Accipitridae,Ictinia_plumbea,247.6,0,0,32.5,34.7,67.3
Accipitridae,Kaupifalco_monogrammicus,278.5,0,0,33.2,38,71.3
Accipitridae,Leucopternis_albicollis,677.8,0,0,35,88,123
Accipitridae,Lophaetus_occipitalis,1123.1,0,0,42,55.3,97.3
Accipitridae,Lophoictinia_isura,582.4,0,1,39.5,62,101.5
Accipitridae,Macheiramphus_alcinus,650,0,0,40.3,52.2,92.5
Accipitridae,Melierax_canorus,649.7,0,0,36.7,51.5,88.3
Accipitridae,Melierax_gabar,163.8,0,0,34.2,33.7,68
Accipitridae,Melierax_metabates,716.5,0,0,37,42.7,79.8
Accipitridae,Melierax_poliopterus,632.9,0,0,37,47.8,84.8
Accipitridae,Milvus_migrans,797,0,1,32,42.4,74.4
Accipitridae,Milvus_milvus,1080.9,0,1,31.5,56.5,88
Accipitridae,Necrosyrtes_monachus,2059,0,0,51,105,156
Accipitridae,Neophron_percnopterus,2060.7,0,1,42,80,122
Accipitridae,Pandion_haliaetus,1512.7,0,1,37.7,55,92.7
Accipitridae,Parabuteo_unicinctus,895,0,0,34.1,43,77.1
Accipitridae,Pernis_apivorus,758.4,0,1,32.5,42,74.5
Accipitridae,Pernis_ptilorhyncus,989.3,0,1,32,41,73
Accipitridae,Pithecophaga_jefferyi,5250.2,0,0,61,134.8,195.8
Accipitridae,Polemaetus_bellicosus,4335.6,0,0,51.2,98.5,149.8
Accipitridae,Polyboroides_radiatus,570,0,0,39,50,89
Accipitridae,Polyboroides_typus,635.4,0,0,35.5,51.2,86.7
Accipitridae,Rostrhamus_sociabilis,374.8,0,1,28.7,29.3,58
Accipitridae,Sagittarius_serpentarius,3958.5,0,0,43.2,83,126.3
Accipitridae,Spilornis_cheela,732.6,0,0,36.7,62,98.7
Accipitridae,Spilornis_holospilus,735.1,0,0,35,60,95
Accipitridae,Spilornis_kinabaluensis,869.3,0,0,35,60,95
Accipitridae,Spilornis_klossi,869.3,0,0,35,60,95
Accipitridae,Spilornis_rufipectus,869.3,0,0,35,60,95
Accipitridae,Spizaetus_ornatus,1206.1,0,0,48,79.5,127.5
Accipitridae,Stephanoaetus_coronatus,3641.9,0,0,49.3,112.5,161.8
Accipitridae,Terathopius_ecaudatus,2239.1,0,0,55.3,111.7,167
Accipitridae,Torgos_tracheliotos,6884.5,0,0,44.2,125.5,169.8
Accipitridae,Trigonoceps_occipitalis,3422.2,0,0,54.8,115,169.8
Aegithalidae,Aegithalos_caudatus,8.6,1,0,15.2,16,31.2
Aegithalidae,Aegithalos_concinnus,6.2,1,0,15,14,29
Aegithalidae,Leptopoecile_sophiae,6.9,1,0,14.5,19,33.5
Aegithalidae,Psaltriparus_minimus,5.3,1,0,12.3,18,30.3
Aegothelidae,Aegotheles_cristatus,43.5,1,0,24.8,25,49.7
Alaudidae,Alaemon_alaudipes,41.7,1,0,14,14.5,28.5
Alaudidae,Alauda_arvensis,37.4,1,1,11.3,17.1,28.4
Alaudidae,Alauda_gulgula,26.3,1,1,10.5,13,23.5
Alaudidae,Ammomanes_cinctura,18,1,0,13,14,27
Alaudidae,Ammomanes_deserti,24.2,1,0,10.5,18.6,29.1
Alaudidae,Ammomanes_grayi,21.1,1,0,12.5,10,22.5
Alaudidae,Calandrella_acutirostris,20.2,1,1,10.5,10.5,21
Alaudidae,Calandrella_brachydactyla,22.5,1,1,12,13.5,25.5
Alaudidae,Calandrella_cinerea,23.5,1,0,14,12,26
Alaudidae,Calandrella_rufescens,23.9,1,1,13.5,15,28.5
Alaudidae,Certhilauda_chuana,44.1,1,0,15.6,11,26.6
Alaudidae,Certhilauda_erythrochlamys,29,1,0,13.5,13,26.5
Alaudidae,Chersomanes_albofasciata,24.4,1,0,12,8,20
Alaudidae,Chersophilus_duponti,39.4,1,0,12.5,8,20.5
Alaudidae,Eremalauda_dunni,20.5,1,0,14.5,14.5,29
Alaudidae,Eremalauda_starki,18.5,1,1,12,10,22
Alaudidae,Eremophila_alpestris,33.8,1,1,11,22.3,33.2
Alaudidae,Eremophila_bilopha,38.5,1,0,13.5,15.5,29
Alaudidae,Eremopterix_australis,14.2,1,0,10.2,9,19.2
Alaudidae,Eremopterix_leucopareia,14.4,1,0,12,15,27
Alaudidae,Eremopterix_leucotis,16.4,1,0,11,11,22
Alaudidae,Eremopterix_nigriceps,13.7,1,0,11.5,13,24.5
Alaudidae,Eremopterix_verticalis,17,1,0,12,8.5,20.5
Alaudidae,Galerida_cristata,43,1,0,12,15.5,27.5
Alaudidae,Galerida_theklae,37.7,1,0,12,15,27
Alaudidae,Heteromirafra_ruddi,26.6,1,0,14,13.4,27.4
Alaudidae,Lullula_arborea,26.9,1,1,13.8,17,30.8
Alaudidae,Melanocorypha_bimaculata,54.1,1,1,13.5,15.5,29
Alaudidae,Melanocorypha_calandra,61.1,1,1,16,10,26
Alaudidae,Melanocorypha_leucoptera,44.9,1,1,12.7,10,22.8
Alaudidae,Melanocorypha_yeltoniensis,59.9,1,1,15.6,10,25.5
Alaudidae,Mirafra_africanoides,23.4,1,0,12,13,25
Alaudidae,Spizocorys_conirostris,14.3,1,0,12,10,22
Alaudidae,Spizocorys_fringillaris,19.2,1,0,13,13.4,26.4
Alaudidae,Spizocorys_sclateri,19.5,1,0,12,11,23
Alcedinidae,Alcedo_atthis,31.2,1,1,20,25,45
Alcedinidae,Alcedo_azurea,34.6,1,0,21,28,49
Alcedinidae,Alcedo_cristata,15.7,1,0,15,23.5,38.5
Alcedinidae,Alcedo_semitorquata,43.7,1,0,16,27,43
Alcedinidae,Ceryle_rudis,84.4,1,0,16.5,25.5,42
Alcedinidae,Chloroceryle_amazona,126.6,1,0,22,29.5,51.5
Alcedinidae,Chloroceryle_americana,33.8,1,0,20.5,26.5,47
Alcedinidae,Dacelo_leachii,314.8,1,0,24.2,38,62.2
Alcedinidae,Dacelo_novaeguineae,337.1,1,0,25,35.5,60.5
Alcedinidae,Halcyon_albiventris,64.8,1,0,14,21,35
Alcedinidae,Halcyon_leucocephala,42.4,1,1,19,23,42
Alcedinidae,Halcyon_senegalensis,69,1,1,13.5,21,34.5
Alcedinidae,Halcyon_smyrnensis,91.4,1,0,19,22.8,41.7
Alcedinidae,Megaceryle_alcyon,150.8,1,1,23.2,28,51.2
Alcedinidae,Megaceryle_torquata,317,1,0,22,35.1,57.1
Alcedinidae,Tanysiptera_sylvia,49.7,1,1,27,30,57
Alcedinidae,Todiramphus_chloris,66.2,1,0,14.5,36.7,51.2
Alcedinidae,Todiramphus_macleayii,37.3,1,1,19.5,28.5,48
Alcedinidae,Todiramphus_pyrrhopygius,52.7,1,0,21,28,49
Alcedinidae,Todiramphus_sanctus,53.5,1,1,17,26.5,43.5
Alcedinidae,Todiramphus_tutus,42.6,1,0,22,26,48
Alcidae,Aethia_cristatella,261.7,1,1,34.2,32.5,66.7
Alcidae,Aethia_psittacula,271.5,1,1,35.3,35,70.3
Alcidae,Aethia_pusilla,84.5,1,1,30.3,30.5,60.8
Alcidae,Aethia_pygmaea,115.8,1,1,34.1,39.8,73.9
Alcidae,Alca_torda,723,1,1,35.8,17.6,53.4
Alcidae,Alle_alle,170.4,1,1,29,27.5,56.5
Alcidae,Brachyramphus_brevirostris,231.5,1,1,30,24,54
Alcidae,Brachyramphus_marmoratus,221,1,1,29.5,27.2,56.8
Alcidae,Brachyramphus_perdix,222.5,1,0,30,21,51
Alcidae,Cepphus_carbo,490,1,1,28,33,61
Alcidae,Cepphus_columba,508.5,1,1,29.5,37,66.5
Alcidae,Cepphus_grylle,384.2,1,1,29.5,39.5,69
Alcidae,Cerorhinca_monocerata,493.6,1,1,36.7,45.2,82
Alcidae,Fratercula_arctica,515.5,1,1,40.4,46.9,87.3
Alcidae,Fratercula_cirrhata,774.7,1,1,42.7,49.5,92.3
Alcidae,Fratercula_corniculata,558.6,1,1,41,38.3,79.3
Alcidae,Ptychoramphus_aleuticus,184,1,1,38,43.2,81.2
Alcidae,Synthliboramphus_antiquus,211.9,1,1,33.7,2,35.8
Alcidae,Synthliboramphus_craveri,151,1,1,27,1.5,28.5
Alcidae,Synthliboramphus_hypoleucus,167,1,1,33,1.5,34.5
Alcidae,Synthliboramphus_wumizusume,200,1,1,33.5,1.5,35
Alcidae,Uria_aalge,991.7,1,1,32.1,41.2,73.3
Alcidae,Uria_lomvia,964,1,1,33.1,21,54.1
Anatidae,Aix_galericulata,563.5,1,1,29.5,42.5,72
Anatidae,Aix_sponsa,657.5,1,1,30,48.2,78.3
Anatidae,Alopochen_aegyptiaca,1886.5,1,0,29,68.8,97.7
Anatidae,Anas_acuta,908.4,1,1,22.8,43.7,66.5
Anatidae,Anas_americana,770.3,1,1,23.8,45.9,69.6
Anatidae,Anas_andium,427.1,1,0,27.5,45.8,73.3
Anatidae,Anas_aucklandica,496.2,1,0,30.5,65,95.5
Anatidae,Anas_bahamensis,511.2,1,0,25.5,52.5,78
Anatidae,Anas_bernieri,370.5,1,1,27.5,47,74.5
Anatidae,Anas_capensis,402.7,1,0,26,52.5,78.5
Anatidae,Anas_castanea,607,1,0,26,68,94
Anatidae,Anas_chlorotis,499.5,1,0,28,55,83
Anatidae,Anas_clypeata,612.8,1,1,23.5,46.4,69.9
Anatidae,Anas_crecca,342.7,1,1,22,33.2,55.3
Anatidae,Anas_cyanoptera,380.2,1,1,23.8,49,72.7
Anatidae,Anas_discors,379,1,1,24.1,40.6,64.7
Anatidae,Anas_eatoni,892.8,1,0,22.5,45,67.5
Anatidae,Anas_erythrorhyncha,568,1,0,25.8,56,81.7
Anatidae,Anas_flavirostris,427.1,1,0,27.5,46.8,74.3
Anatidae,Anas_fulvigula,962.7,1,1,26.1,61.5,87.6
Anatidae,Anas_gibberifrons,480.6,1,0,26.2,55.5,81.7
Anatidae,Anas_gracilis,488.4,1,0,26.7,55.5,82.2
Anatidae,Anas_hottentota,258.2,1,0,24,62.5,86.5
Anatidae,Anas_laysanensis,962.7,1,0,27,55.5,82.5
Anatidae,Anas_luzonica,849.4,1,0,25.8,56,81.7
Anatidae,Anas_melleri,966.2,1,0,28,70,98
Anatidae,Anas_penelope,763.5,1,1,24.4,42.5,66.9
Anatidae,Anas_platyrhynchos,1029.1,1,1,26.9,55.3,82.1
Anatidae,Anas_poecilorhyncha,1108.7,1,0,27.3,52.5,79.8
Anatidae,Anas_querquedula,329.8,1,1,22,37.6,59.6
Anatidae,Anas_rhynchotis,652,1,0,24.2,52.5,76.7
Anatidae,Anas_rubripes,1197.3,1,1,26.7,50.8,77.5
Anatidae,Anas_smithii,599.1,1,0,27.5,57.7,85.3
Anatidae,Anas_sparsa,990.7,1,0,25.5,81.5,107
Anatidae,Anas_strepera,882.8,1,1,25.5,48.5,74
Anatidae,Anas_superciliosa,931.9,1,0,29,58,87
Anatidae,Anas_undulata,962.5,1,0,27.5,68,95.5
Anatidae,Anas_wyvilliana,974.2,1,0,26.5,55.5,82
Anatidae,Anser_albifrons,2446.9,1,1,26,43.5,69.5
Anatidae,Anser_anser,3305.5,1,1,27.5,55,82.5
Anatidae,Anser_brachyrhynchus,2674.8,1,1,27.2,56,83.3
Anatidae,Anser_cygnoides,3493.5,1,1,29,70,99
Anatidae,Anser_erythropus,1767.4,1,1,26.5,37.5,64
Anatidae,Anser_fabalis,2873.6,1,1,27.8,48,75.8
Anatidae,Anser_indicus,2313.2,1,1,28.8,55.4,84.1
Anatidae,Aythya_affinis,804,1,1,23,47.8,70.7
Anatidae,Aythya_americana,1066,1,1,24.8,64.6,89.4
Anatidae,Aythya_collaris,717.3,1,1,26.4,52.4,78.8
Anatidae,Aythya_ferina,838.2,1,1,26,72.5,98.5
Anatidae,Aythya_fuligula,701.3,1,1,24.8,47.5,72.3
Anatidae,Aythya_marila,982.2,1,1,26,49.9,75.9
Anatidae,Aythya_novaeseelandiae,648,1,0,28.5,75,103.5
Anatidae,Aythya_nyroca,574,1,1,26,57.5,83.5
Anatidae,Aythya_valisineria,1210.3,1,1,25.8,65.5,91.2
Anatidae,Branta_bernicla,1312.6,1,1,24.5,42.9,67.4
Anatidae,Branta_canadensis,3398.1,1,1,28.5,47.4,75.9
Anatidae,Branta_hutchinsii,3236.7,1,1,27.2,50.8,78
Anatidae,Branta_leucopsis,1696.2,1,1,24.5,42.5,67
Anatidae,Branta_ruficollis,1234.2,1,1,24.5,38.5,63
Anatidae,Branta_sandvicensis,2067.1,1,0,30,70,100
Anatidae,Bucephala_albeola,398.7,1,1,30.2,52.5,82.7
Anatidae,Bucephala_clangula,907.2,1,1,29.8,56.9,86.6
Anatidae,Bucephala_islandica,949.9,1,1,30.1,58.3,88.3
Anatidae,Cairina_moschata,2321.9,1,0,34,70,104
Anatidae,Cairina_scutulata,2968.7,1,0,30,102.3,132.3
Anatidae,Cereopsis_novaehollandiae,3665,1,0,35.3,71.5,106.8
Anatidae,Chen_caerulescens,2633.5,1,1,23.6,43.2,66.8
Anatidae,Chen_canagica,2427.2,1,1,24.4,55,79.4
Anatidae,Chen_rossii,1616.7,1,1,22,41.5,63.5
Anatidae,Chenonetta_jubata,810,1,0,29.5,57,86.5
Anatidae,Chloephaga_hybrida,2304.4,1,0,30,87.5,117.5
Anatidae,Chloephaga_melanoptera,2563.5,1,0,30,84,114
Anatidae,Chloephaga_picta,2905.2,1,1,30.5,67.5,98
Anatidae,Clangula_hyemalis,842.5,1,1,25.5,36.2,61.7
Anatidae,Coscoroba_coscoroba,4172.4,1,1,35,84,119
Anatidae,Cyanochen_cyanoptera,1520,1,0,32,88.7,120.8
Anatidae,Cygnus_atratus,5639.6,1,0,39.8,138.7,178.5
Anatidae,Cygnus_buccinator,10685.6,1,1,34.7,99.5,134.2
Anatidae,Cygnus_columbianus,6364,1,1,29.5,51.4,80.9
Anatidae,Cygnus_cygnus,9381.5,1,1,35,92.7,127.8
Anatidae,Cygnus_melancoryphus,4493.3,1,1,35,70,105
Anatidae,Cygnus_olor,10456,1,1,36,135,171
Anatidae,Dendrocygna_arcuata,786.4,1,0,28.5,55,83.5
Anatidae,Dendrocygna_autumnalis,790.9,1,0,27.8,57.7,85.5
Anatidae,Dendrocygna_bicolor,749.7,1,0,26.3,63,89.2
Anatidae,Dendrocygna_guttata,800,1,0,30.5,49,79.5
Anatidae,Dendrocygna_viduata,661,1,0,27,56,83
Anatidae,Histrionicus_histrionicus,561.4,1,1,28.1,44.2,72.4
Anatidae,Hymenolaimus_malacorhynchos,831.3,1,0,34,76,110
Anatidae,Lophodytes_cucullatus,614.8,1,1,32.1,70.3,102.3
Anatidae,Lophonetta_specularioides,984.5,1,0,30,73.5,103.5
Anatidae,Malacorhynchus_membranaceus,366.8,1,0,26,52.5,78.5
Anatidae,Marmaronetta_angustirostris,477,1,1,25.3,55,80.3
Anatidae,Melanitta_fusca,1754.7,1,1,27.7,60,87.7
Anatidae,Melanitta_nigra,1051.5,1,1,28.1,46.6,74.7
Anatidae,Melanitta_perspicillata,1071.7,1,1,29,55,84
Anatidae,Mergellus_albellus,619.3,1,1,27.5,70,97.5
Anatidae,Mergus_merganser,1456.8,1,1,30.8,65,95.8
Anatidae,Mergus_serrator,1028.9,1,1,31.4,61.6,93
Anatidae,Mergus_squamatus,1199,1,1,32,56,88
Anatidae,Netta_erythrophthalma,781.7,1,0,25.5,60.5,86
Anatidae,Netta_rufina,1118,1,1,27,47.5,74.5
Anatidae,Oxyura_australis,824,1,1,26.3,56,82.2
Anatidae,Oxyura_jamaicensis,572.7,1,1,23.5,54.1,77.7
Anatidae,Oxyura_leucocephala,674,1,1,24.2,65,89.2
Anatidae,Oxyura_maccoa,677.3,1,0,26,35,61
Anatidae,Oxyura_vittata,641.3,1,1,23.5,59.5,83
Anatidae,Plectropterus_gambensis,4174.5,1,0,30.9,80,110.9
Anatidae,Polysticta_stelleri,824.4,1,1,26,50,76
Anatidae,Pteronetta_hartlaubii,836,1,0,31.5,56,87.5
Anatidae,Sarkidiornis_melanotos,2232,1,0,29.3,68.8,98.1
Anatidae,Somateria_fischeri,1550.5,1,1,23.1,51.1,74.3
Anatidae,Somateria_mollissima,2076.5,1,1,26.3,64,90.3
Anatidae,Somateria_spectabilis,1633.4,1,1,23.1,42.5,65.6
Anatidae,Stictonetta_naevosa,879.1,1,0,28,57.7,85.8
Anatidae,Tachyeres_brachypterus,3507.5,1,0,34,84,118
Anatidae,Tachyeres_leucocephalus,3058.2,1,0,30,84,114
Anatidae,Tachyeres_patachonicus,2729,1,0,35,84,119
Anatidae,Tachyeres_pteneres,4713,1,0,35,84,119
Anatidae,Tadorna_cana,1280,1,0,30,70,100
Anatidae,Tadorna_ferruginea,1237.5,1,1,28.6,55,83.6
Anatidae,Tadorna_tadorna,1120.4,1,1,30,50.6,80.6
Anatidae,Tadorna_tadornoides,1391.3,1,0,30.8,60,90.8
Anatidae,Tadorna_variegata,1478,1,0,31,59.8,90.8
Anatidae,Thalassornis_leuconotus,702.9,1,0,34,55,89
Anhimidae,Chauna_chavaria,2580.6,1,0,43,67.5,110.5
